agents;comms;simulations;mean;dvest;r;time
15;90;2430;0.494238683127572;0.5000697117165573;0.01989261901738894;0:40.15
15;100;2100;0.6842857142857143;0.4649104216183084;0.019895654293794838;0:37.64
15;110;1470;0.8149659863945579;0.3884573076282324;0.019874247481205438;0:26.89
15;120;690;0.9246376811594202;0.26416656854446974;0.019745356175875247;0:15.04
15;130;30;1.0;0.0;0.0;0:00.85
15;140;180;0.9833333333333333;0.12837619299299383;0.018881763416668893;0:03.79
15;150;30;1.0;0.0;0.0;0:00.91
15;160;30;1.0;0.0;0.0;0:00.83
15;170;30;1.0;0.0;0.0;0:00.91
15;180;30;1.0;0.0;0.0;0:00.84
15;190;30;1.0;0.0;0.0;0:00.85
15;200;30;1.0;0.0;0.0;0:00.85
15;210;30;1.0;0.0;0.0;0:00.85
15;220;30;1.0;0.0;0.0;0:00.94
15;230;30;1.0;0.0;0.0;0:00.90
15;240;30;1.0;0.0;0.0;0:00.84
15;250;30;1.0;0.0;0.0;0:00.94
15;260;30;1.0;0.0;0.0;0:00.87
15;270;30;1.0;0.0;0.0;0:00.92
15;280;30;1.0;0.0;0.0;0:00.99
15;290;30;1.0;0.0;0.0;0:00.84
15;300;30;1.0;0.0;0.0;0:00.86
15;310;30;1.0;0.0;0.0;0:00.90
15;320;30;1.0;0.0;0.0;0:00.85
15;330;30;1.0;0.0;0.0;0:00.88
15;340;30;1.0;0.0;0.0;0:00.89
15;350;30;1.0;0.0;0.0;0:00.83
15;360;30;1.0;0.0;0.0;0:00.85
15;370;30;1.0;0.0;0.0;0:00.87
15;380;30;1.0;0.0;0.0;0:00.94
15;390;30;1.0;0.0;0.0;0:00.92
15;400;30;1.0;0.0;0.0;0:00.89
15;410;30;1.0;0.0;0.0;0:00.90
15;420;30;1.0;0.0;0.0;0:01.02
15;430;30;1.0;0.0;0.0;0:00.85
15;440;30;1.0;0.0;0.0;0:00.86
15;450;30;1.0;0.0;0.0;0:00.83
15;460;30;1.0;0.0;0.0;0:00.87
15;470;30;1.0;0.0;0.0;0:00.83
15;480;30;1.0;0.0;0.0;0:00.86
15;490;30;1.0;0.0;0.0;0:00.85
15;500;30;1.0;0.0;0.0;0:00.81
15;510;30;1.0;0.0;0.0;0:00.80
15;520;30;1.0;0.0;0.0;0:00.86
15;530;30;1.0;0.0;0.0;0:00.83
15;540;30;1.0;0.0;0.0;0:00.85
15;550;30;1.0;0.0;0.0;0:00.84
15;560;30;1.0;0.0;0.0;0:00.89
15;570;30;1.0;0.0;0.0;0:00.83
15;580;30;1.0;0.0;0.0;0:00.85
15;590;30;1.0;0.0;0.0;0:00.81
15;600;30;1.0;0.0;0.0;0:00.87
16;10;30;0.0;0.0;0.0;0:00.37
16;20;30;0.0;0.0;0.0;0:00.44
16;30;30;0.0;0.0;0.0;0:00.47
16;40;30;0.0;0.0;0.0;0:00.57
16;50;30;0.0;0.0;0.0;0:00.60
16;60;420;0.04523809523809524;0.2080737671565114;0.01995708343835871;0:04.72
16;70;1110;0.12972972972972974;0.33615729995736343;0.01979718256882193;0:16.88
16;80;1950;0.2794871794871795;0.4488623594624179;0.019934886121782385;0:29.92
16;90;2430;0.49958847736625517;0.5001027430368558;0.01989393299313061;0:40.72
16;100;2040;0.6990196078431372;0.4587966643440055;0.019920999896099995;0:35.65
16;110;1470;0.8170068027210884;0.38679253029518684;0.019789074165970207;0:25.94
16;120;630;0.9349206349206349;0.2468618494329946;0.01931382405012614;0:11.93
16;130;30;1.0;0.0;0.0;0:00.92
16;140;30;1.0;0.0;0.0;0:00.90
16;150;30;1.0;0.0;0.0;0:00.84
16;160;30;1.0;0.0;0.0;0:00.92
16;170;30;1.0;0.0;0.0;0:00.88
16;180;30;1.0;0.0;0.0;0:00.89
16;190;30;1.0;0.0;0.0;0:00.82
16;200;30;1.0;0.0;0.0;0:00.87
16;210;30;1.0;0.0;0.0;0:00.97
16;220;30;1.0;0.0;0.0;0:00.86
16;230;30;1.0;0.0;0.0;0:00.87
16;240;30;1.0;0.0;0.0;0:00.87
16;250;30;1.0;0.0;0.0;0:00.91
